area_name,total,number_minorities,largest_groups,area_code
Seascale,1236,9,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36001954
St Bees,737,6,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'Mixed/multiple ethnic group: Other Mixed']",E36001955
Alston Moor,996,7,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36001956
Appleby (Appleby),651,5,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36001957
Appleby (Bongate),764,6,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36001958
Askham,620,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36001959
Brough,562,3,"['White: Other White', 'Mixed/multiple ethnic group: Other Mixed', 'Asian/Asian British: Indian']",E36001960
Crosby Ravensworth,574,5,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'White: Irish']",E36001961
Dacre,637,6,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36001962
Eamont,635,6,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36001963
Greystoke,639,2,"['White: Irish', 'White: Other White']",E36001964
Hartside,531,3,"['White: Irish', 'White: Other White', 'Black/African/Caribbean/Black British: Other Black']",E36001965
Hesket,1260,6,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36001966
"Kirkby Stephen,Ravenstonedale",1590,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001967
Kirkby Thore,640,5,"['White: Irish', 'White: Other White', 'White: Gypsy or Irish Traveller']",E36001968
Kirkoswald,600,5,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36001969
Langwathby,644,4,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001970
Lazonby,625,4,"['White: Other White', 'White: Irish', 'Other ethnic group: Arab']",E36001971
Long Marton,538,4,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001972
Morland,532,4,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'Asian/Asian British: Chinese']",E36001973
Orton with Tebay,589,5,"['White: Other White', 'White: Irish', 'Asian/Asian British: Bangladeshi']",E36001974
Penrith Carleton,696,5,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36001975
Penrith East,1200,7,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36001976
Penrith North,1823,13,"['White: Other White', 'Asian/Asian British: Chinese', 'White: Irish']",E36001977
Penrith Pategill,663,5,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Asian/Asian British: Pakistani']",E36001978
Penrith South,1160,8,"['White: Other White', 'Asian/Asian British: Chinese', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001979
Penrith West,1488,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Bangladeshi']",E36001980
Shap,620,7,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001981
Skelton,608,7,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black African']",E36001982
Ullswater,595,6,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'White: Irish']",E36001983
Warcop,563,6,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001984
Ambleside and Grasmere,1775,11,"['White: Other White', 'Asian/Asian British: Bangladeshi', 'White: Irish']",E36001985
Arnside and Beetham,1928,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36001986
Broughton,998,5,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001987
Burneside,826,5,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36001988
Burton and Holme,1609,9,"['White: Other White', 'White: Irish', 'Other ethnic group: Arab']",E36001989
Cartmel and Grange West,822,7,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36001990
Coniston and Crake Valley,717,4,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36001991
Crooklands,913,5,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'White: Irish']",E36001992
Grange North,1007,6,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36001993
Grange South,1084,7,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36001994
Hawkshead,804,5,"['White: Other White', 'Mixed/multiple ethnic group: Other Mixed', 'White: Irish']",E36001995
Holker,831,7,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36001996
Kendal Castle,790,8,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36001997
Kendal Far Cross,953,6,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black African']",E36001998
Kendal Fell,1223,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36001999
Kendal Heron Hill,895,6,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black African']",E36002000
Kendal Highgate,1077,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002001
Kendal Kirkland,841,10,"['White: Other White', 'Asian/Asian British: Chinese', 'Mixed/multiple ethnic group: White and Asian']",E36002002
Kendal Mintsfeet,1006,8,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36002003
Kendal Nether,909,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002004
Kendal Oxenholme and Natland,889,10,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'Black/African/Caribbean/Black British: African']",E36002005
Kendal Parks,840,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002006
Kendal Romney,942,6,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002007
Kendal Stonecross,1040,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002008
Kendal Strickland,893,6,"['White: Other White', 'Black/African/Caribbean/Black British: Caribbean', 'White: Irish']",E36002009
Kendal Underley,934,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black African']",E36002010
Levens,943,6,"['White: Irish', 'White: Other White', 'Asian/Asian British: Chinese']",E36002011
Low Furness,728,7,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'White: Irish']",E36002012
Lyth Valley,965,5,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002013
Mid Furness,1725,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36002014
Milnthorpe,947,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002015
Sedbergh and Kirkby Lonsdale,2719,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002016
Staveley-in-Cartmel,914,4,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002017
Staveley-in-Westmorland,960,8,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36002018
Ulverston Central,774,8,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36002019
Ulverston East,1005,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002020
Ulverston North,960,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002021
Ulverston South,739,4,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'White: Irish']",E36002022
Ulverston Town,1006,9,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002023
Ulverston West,904,6,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36002024
Whinfell,790,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002025
Windermere Applethwaite and Troutbeck,1030,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002026
Windermere Bowness North,896,11,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002027
Windermere Bowness South,1059,14,"['White: Other White', 'Asian/Asian British: Bangladeshi', 'Black/African/Caribbean/Black British: Caribbean']",E36002028
Windermere Town,942,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002029
Alfreton,3520,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002030
Alport,1074,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002031
Belper Central,2403,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002032
Belper East,2402,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002033
Belper North,2147,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002034
Belper South,2528,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002035
Codnor and Waingroves,2072,9,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002036
Crich,1062,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002037
Duffield,2028,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002038
Heage and Ambergate,2130,9,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36002039
Heanor and Loscoe,2216,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002040
Heanor East,2488,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002041
Heanor West,2517,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002042
Ironville and Riddings,2596,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002043
"Kilburn, Denby and Holbrook",3127,12,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'White: Irish']",E36002044
Langley Mill and Aldercar,2371,13,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002045
Ripley,3880,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002046
Ripley and Marehay,2504,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002047
"Shipley Park, Horsley and Horsley Woodhouse",2523,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002048
Somercotes,2656,14,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'White: Irish']",E36002049
South West Parishes,1123,12,"['White: Other White', 'Asian/Asian British: Other Asian', 'Asian/Asian British: Indian']",E36002050
Swanwick,2223,11,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002051
Wingfield,1006,4,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: Other Mixed']",E36002052
Barlborough,1342,11,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36002053
Blackwell,1888,11,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002054
Bolsover North West,1721,13,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Black/African/Caribbean/Black British: African']",E36002055
Bolsover South,1709,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36002056
Bolsover West,1653,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002057
Clowne North,1777,9,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36002058
Clowne South,1576,7,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002059
Elmton-with-Creswell,2710,12,"['White: Other White', 'Asian/Asian British: Chinese', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002060
Pinxton,1850,15,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002061
Pleasley,1749,13,"['White: Other White', 'Black/African/Caribbean/Black British: Other Black', 'White: Irish']",E36002062
Scarcliffe,1781,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002063
Shirebrook East,778,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002064
Shirebrook Langwith,827,5,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Asian']",E36002065
Shirebrook North West,1050,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002066
Shirebrook South East,837,12,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Chinese']",E36002067
Shirebrook South West,1092,12,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Asian/Asian British: Indian']",E36002068
South Normanton East,1895,12,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36002069
South Normanton West,2792,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002070
Tibshelf,2035,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002071
Whitwell,1739,10,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002072
Barrow Hill and New Whittington,2666,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36002073
Brimington North,1854,13,"['White: Other White', 'Black/African/Caribbean/Black British: Caribbean', 'Black/African/Caribbean/Black British: African']",E36002074
Brimington South,2697,13,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002075
Brockwell,2805,15,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36002076
Dunston,3000,15,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Black/African/Caribbean/Black British: Caribbean']",E36002077
Hasland,2880,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002078
Hollingwood and Inkersall,3159,12,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002079
Holmebrook,2205,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Indian']",E36002080
Linacre,1692,15,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002081
Loundsley Green,1988,12,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002082
Lowgates and Woodthorpe,1949,14,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'White: Irish']",E36002083
Middlecroft and Poolsbrook,2047,14,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002084
Moor,2094,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Pakistani']",E36002085
Old Whittington,1962,11,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Black/African/Caribbean/Black British: African']",E36002086
Rother,2992,14,"['White: Other White', 'Black/African/Caribbean/Black British: Caribbean', 'Asian/Asian British: Chinese']",E36002087
St Helen's,2133,15,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean']",E36002088
St Leonard's,3496,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002089
Walton,2490,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002090
West,2687,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002091
Ashbourne North,1684,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002092
Ashbourne South,2027,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36002093
Bakewell,2133,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002094
Bradwell,841,3,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36002095
Brailsford,699,5,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: Other Mixed']",E36002096
Calver,823,8,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36002097
Carsington Water,781,7,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36002098
Chatsworth,780,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002099
Clifton and Bradley,765,5,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002100
Darley Dale,2392,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002101
Dovedale and Parwich,702,5,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'White: Irish']",E36002102
Doveridge and Sudbury,828,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002103
Hartington and Taddington,687,3,"['White: Other White', 'White: Irish', 'Asian/Asian British: Pakistani']",E36002104
Hathersage and Eyam,1663,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black African']",E36002105
Hulland,758,6,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002106
Lathkill and Bradford,705,6,"['White: Other White', 'White: Irish', 'Asian/Asian British: Pakistani']",E36002107
Litton and Longstone,734,5,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36002108
Masson,1382,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36002109
Matlock All Saints,2435,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002110
Matlock St Giles,2356,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002111
Norbury,674,4,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: Other Mixed']",E36002112
Stanton,783,4,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002113
Tideswell,798,7,"['White: Other White', 'Black/African/Caribbean/Black British: Other Black', 'White: Irish']",E36002114
Winster and South Darley,732,5,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002115
Wirksworth,2582,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002116
Abbotsford,2020,10,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002117
Breaston,1970,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002118
Cotmanhay,2047,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002119
Derby Road East,2415,15,"['White: Other White', 'Black/African/Caribbean/Black British: Caribbean', 'Asian/Asian British: Indian']",E36002120
Derby Road West,2604,15,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36002121
Draycott,1884,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002122
Hallam Fields,2280,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002123
Ilkeston Central,2231,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002124
Ilkeston North,1814,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002125
Kirk Hallam,2667,13,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002126
Little Eaton and Breadsall,1535,10,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002127
Little Hallam,1758,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002128
Long Eaton Central,2712,14,"['White: Other White', 'Black/African/Caribbean/Black British: Caribbean', 'Asian/Asian British: Indian']",E36002129
Nottingham Road,2868,15,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36002130
Ockbrook And Borrowash,3175,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002131
Old Park,1841,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002132
Sandiacre North,2144,14,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002133
Sandiacre South,1683,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002134
Sawley,2967,14,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36002135
Stanley,935,7,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002136
West Hallam and Dale Abbey,2034,11,"['White: Irish', 'White: Other White', 'Black/African/Caribbean/Black British: Caribbean']",E36002137
Wilsthorpe,3108,16,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36002138
Barms,902,9,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36002139
Blackbrook,1629,10,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002140
Burbage,1016,6,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002141
Buxton Central,1927,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36002142
Chapel East,950,11,"['White: Irish', 'White: Other White', 'Black/African/Caribbean/Black British: African']",E36002143
Chapel West,1811,9,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Asian']",E36002144
Corbar,1627,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002145
Cote Heath,1650,10,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Asian']",E36002146
Dinting,756,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002147
Gamesley,1046,10,"['White: Irish', 'White: Other White', 'Black/African/Caribbean/Black British: African']",E36002148
Hadfield North,850,12,"['White: Other White', 'Black/African/Caribbean/Black British: Caribbean', 'White: Irish']",E36002149
Hadfield South,1748,14,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002150
Hayfield,911,7,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002151
Hope Valley,1718,11,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002152
Howard Town,1961,15,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002153
Limestone Peak,934,10,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002154
New Mills East,1723,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002155
New Mills West,1876,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002156
Old Glossop,1950,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002157
Padfield,1184,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002158
Sett,838,9,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002159
Simmondley,1773,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002160
St John's,774,7,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002161
Stone Bench,1866,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002162
Temple,771,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36002163
Tintwistle,917,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002164
Whaley Bridge,2794,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36002165
Whitfield,1044,11,"['White: Irish', 'White: Other White', 'Asian/Asian British: Other Asian']",E36002166
Ashover,798,6,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36002167
Barlow and Holmesfield,837,9,"['Asian/Asian British: Other Asian', 'White: Other White', 'Asian/Asian British: Indian']",E36002168
Brampton and Walton,1591,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36002169
Clay Cross North,2650,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002170
Clay Cross South,1692,16,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Mixed/multiple ethnic group: Other Mixed']",E36002171
Coal Aston,1504,11,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36002172
Dronfield North,1845,11,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Other Asian']",E36002173
Dronfield South,2279,15,"['White: Other White', 'Black/African/Caribbean/Black British: Caribbean', 'Mixed/multiple ethnic group: White and Asian']",E36002174
Dronfield Woodhouse,1448,10,"['White: Other White', 'Mixed/multiple ethnic group: White and Asian', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002175
Eckington North,1593,11,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Asian/Asian British: Indian']",E36002176
Eckington South,1627,10,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002177
Gosforth Valley,2191,15,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean']",E36002178
Grassmoor,1691,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002179
Holmewood and Heath,1605,10,"['White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean', 'Mixed/multiple ethnic group: White and Asian']",E36002180
Killamarsh East,1521,12,"['White: Other White', 'Asian/Asian British: Chinese', 'White: Irish']",E36002181
Killamarsh West,2324,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36002182
North Wingfield Central,2601,11,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002183
Pilsley and Morton,2283,14,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002184
Renishaw,1091,12,"['White: Other White', 'White: Irish', 'Other ethnic group: Any other ethnic group']",E36002185
Ridgeway and Marsh Lane,757,6,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002186
Shirland,2414,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002187
Sutton,1811,15,"['Black/African/Caribbean/Black British: African', 'White: Other White', 'Asian/Asian British: Indian']",E36002188
Tupton,1700,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002189
Unstone,803,9,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002190
Wingerworth,2414,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002191
Aston,2800,13,"['Asian/Asian British: Indian', 'White: Other White', 'White: Irish']",E36002192
Church Gresley,2923,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002193
Etwall,2223,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002194
Hatton,1123,10,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002195
Hilton,3684,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002196
Linton,2069,12,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002197
Melbourne,2247,10,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002198
Midway,3391,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36002199
Newhall and Stanton,3525,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36002200
Repton,2129,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002201
Seales,2227,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36002202
Stenson,1647,14,"['Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean', 'White: Other White']",E36002203
