area_name,total,number_minorities,largest_groups,area_code
South Bank,2786,16,"['Asian/Asian British: Pakistani', 'White: Irish', 'Asian/Asian British: Bangladeshi']",E36000057
St Germain's,2858,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000058
Teesville,2920,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000059
West Dyke,3129,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000060
Westworth,1931,6,"['White: Other White', 'Asian/Asian British: Pakistani', 'White: Irish']",E36000061
Zetland,2017,8,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000062
Billingham Central,3131,13,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: Other Mixed']",E36000063
Billingham East,3086,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000064
Billingham North,3700,14,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Pakistani']",E36000065
Billingham South,2744,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000066
Billingham West,2416,11,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36000067
Bishopsgarth and Elm Tree,2930,15,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Indian']",E36000068
Eaglescliffe,4338,17,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Pakistani']",E36000069
Fairfield,2456,13,"['Asian/Asian British: Pakistani', 'White: Other White', 'White: Irish']",E36000070
Grangefield,2653,17,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Other Asian']",E36000071
Hardwick,2844,15,"['Asian/Asian British: Other Asian', 'White: Other White', 'Asian/Asian British: Pakistani']",E36000072
Hartburn,2778,14,"['White: Other White', 'Asian/Asian British: Pakistani', 'Asian/Asian British: Other Asian']",E36000073
Ingleby Barwick East,3806,14,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'White: Other White']",E36000074
Ingleby Barwick West,3712,16,"['Asian/Asian British: Indian', 'White: Other White', 'Asian/Asian British: Pakistani']",E36000075
Mandale and Victoria,4681,17,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Chinese']",E36000076
Newtown,2970,16,"['White: Other White', 'Asian/Asian British: Pakistani', 'Black/African/Caribbean/Black British: African']",E36000077
Northern Parishes,1284,15,"['Asian/Asian British: Indian', 'Asian/Asian British: Pakistani', 'White: Other White']",E36000078
Norton North,3004,16,"['White: Irish', 'White: Other White', 'Asian/Asian British: Other Asian']",E36000079
Norton South,3099,15,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Indian']",E36000080
Norton West,2808,12,"['Asian/Asian British: Chinese', 'White: Other White', 'White: Irish']",E36000081
Parkfield and Oxbridge,3378,17,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Other Asian']",E36000082
Roseworth,3044,15,"['Asian/Asian British: Other Asian', 'White: Other White', 'Black/African/Caribbean/Black British: African']",E36000083
Stainsby Hill,2722,15,"['White: Irish', 'Asian/Asian British: Indian', 'Mixed/multiple ethnic group: Other Mixed']",E36000084
Stockton Town Centre,2998,17,"['Asian/Asian British: Pakistani', 'Black/African/Caribbean/Black British: African', 'White: Other White']",E36000085
Village,3074,16,"['Asian/Asian British: Pakistani', 'White: Other White', 'Asian/Asian British: Indian']",E36000086
Western Parishes,1358,12,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000087
Yarm,4145,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000088
Bank Top,1872,16,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Asian/Asian British: Chinese']",E36000089
Central,2126,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000090
Cockerton East,2257,11,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000091
Cockerton West,1880,15,"['White: Other White', 'Asian/Asian British: Indian', 'Mixed/multiple ethnic group: Other Mixed']",E36000092
College,1851,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000093
Eastbourne,2758,15,"['White: Other White', 'White: Irish', 'White: Gypsy or Irish Traveller']",E36000094
Faverdale,1204,14,"['White: Gypsy or Irish Traveller', 'White: Other White', 'Asian/Asian British: Indian']",E36000095
Harrowgate Hill,2511,13,"['White: Other White', 'Asian/Asian British: Indian', 'Black/African/Caribbean/Black British: Caribbean']",E36000096
Haughton East,1784,14,"['White: Other White', 'Asian/Asian British: Other Asian', 'Black/African/Caribbean/Black British: Caribbean']",E36000097
Haughton North,1544,12,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000098
Haughton West,2147,15,"['White: Irish', 'Asian/Asian British: Chinese', 'White: Other White']",E36000099
Heighington and Coniscliffe,1582,14,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000100
Hummersknott,1434,14,"['Asian/Asian British: Indian', 'White: Irish', 'White: Other White']",E36000101
Hurworth,1604,11,"['White: Other White', 'White: Irish', 'Other ethnic group: Any other ethnic group']",E36000102
Lascelles,1851,16,"['White: Other White', 'White: Gypsy or Irish Traveller', 'White: Irish']",E36000103
Lingfield,1706,15,"['White: Other White', 'White: Gypsy or Irish Traveller', 'Asian/Asian British: Indian']",E36000104
Middleton St George,1884,15,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36000105
Mowden,1680,16,"['Asian/Asian British: Indian', 'White: Irish', 'White: Other White']",E36000106
North Road,2933,16,"['White: Other White', 'Asian/Asian British: Indian', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000107
Northgate,2227,17,"['White: Other White', 'Asian/Asian British: Bangladeshi', 'Asian/Asian British: Other Asian']",E36000108
Park East,2727,17,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000109
Park West,1581,12,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000110
Pierremont,2667,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000111
Sadberge and Whessoe,860,10,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000112
Appleton,3055,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36000113
Beechwood,1571,10,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Asian']",E36000114
Birchfield,2556,16,"['Asian/Asian British: Indian', 'White: Irish', 'White: Other White']",E36000115
Broadheath,2590,12,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: African']",E36000116
Daresbury,1743,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000117
Ditton,3128,13,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36000118
Farnworth,3070,14,"['White: Irish', 'White: Other White', 'Black/African/Caribbean/Black British: Caribbean']",E36000119
Grange,2938,12,"['White: Irish', 'White: Other White', 'Asian/Asian British: Chinese']",E36000120
Hale,787,8,"['White: Irish', 'Asian/Asian British: Chinese', 'White: Other White']",E36000121
Halton Brook,2716,12,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36000122
Halton Castle,2869,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000123
Halton Lea,2803,16,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000124
Halton View,2975,13,"['White: Irish', 'White: Other White', 'Black/African/Caribbean/Black British: Caribbean']",E36000125
Heath,2514,12,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000126
Hough Green,3040,14,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36000127
Kingsway,2674,14,"['White: Irish', 'White: Other White', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000128
Mersey,3546,15,"['White: Other White', 'White: Irish', 'Black/African/Caribbean/Black British: Caribbean']",E36000129
Norton North,2716,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000130
Norton South,2744,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000131
Riverside,2297,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36000132
Windmill Hill,980,8,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: Other Mixed']",E36000133
Appleton,4173,16,"['Asian/Asian British: Indian', 'White: Irish', 'White: Other White']",E36000134
Bewsey and Whitecross,5530,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'Asian/Asian British: Indian']",E36000135
Birchwood,4839,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000136
Burtonwood and Winwick,2557,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000137
"Culcheth, Glazebury and Croft",4457,17,"['White: Irish', 'White: Other White', 'Asian/Asian British: Chinese']",E36000138
Fairfield and Howley,6359,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000139
Grappenhall and Thelwall,3969,15,"['White: Irish', 'White: Other White', 'Asian/Asian British: Indian']",E36000140
Great Sankey North,2548,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000141
Great Sankey South,4335,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000142
"Hatton, Stretton and Walton",1188,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000143
Latchford East,3731,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Other Asian']",E36000144
Latchford West,3275,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Pakistani']",E36000145
Lymm,5171,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000146
Orford,4442,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000147
Penketh and Cuerdley,3526,15,"['White: Irish', 'White: Other White', 'Asian/Asian British: Pakistani']",E36000148
Poplars and Hulme,4559,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000149
